ear_left,ear_right,ear_avg,mar,pitch,yaw,roll,perclos,blink_rate,label
0.0615,0.0709,0.0662,0.0723,-27.3653,-4.6068,4.5011,1.0,0.0,1
0.1939,0.1698,0.1818,0.0049,56.5441,-7.1724,-178.1224,1.0,0.0,0
0.064,0.0432,0.0536,0.0028,25.0335,-5.8593,171.5089,1.0,0.0,1
0.2533,0.2604,0.2568,0.0193,-5.7121,3.1581,-2.2122,0.0,0.0,0
0.1596,0.1073,0.1335,0.0047,16.9482,1.0191,-3.7364,1.0,0.0,0
0.2512,0.2511,0.2512,0.0045,28.1175,1.4726,-178.1467,0.0,0.0,1
0.2287,0.2282,0.2285,0.0034,-6.0604,-6.3129,2.0045,0.0,0.0,1
0.4299,0.3624,0.3962,0.0371,-4.256,-38.5305,-168.9912,0.0,0.0,0
0.0736,0.2345,0.1541,0.2006,38.5696,49.91,-157.7564,1.0,0.0,2
0.324,0.3165,0.3202,0.1314,16.7683,1.1474,-179.5895,0.0,0.0,0
0.1888,0.156,0.1724,0.0478,-19.3199,-8.3026,4.5528,1.0,0.0,1
0.2481,0.1373,0.1927,0.1004,0.0768,-41.1662,5.2778,1.0,0.0,2
0.1211,0.0636,0.0924,0.0204,18.8949,12.1137,157.5213,1.0,0.0,1
0.1131,0.123,0.118,0.041,-25.4824,-2.6243,6.4461,1.0,0.0,1
0.1375,0.1013,0.1194,0.2091,28.7436,-0.048,171.7719,1.0,0.0,1
0.4235,0.398,0.4107,0.0144,27.6866,-3.5438,-179.4945,0.0,0.0,0
0.0912,0.0943,0.0928,0.0043,25.9122,-7.7721,-4.1032,1.0,0.0,2
0.1134,0.0789,0.0962,0.0676,-17.3927,-14.7503,14.7397,1.0,0.0,1
0.2447,0.2549,0.2498,0.0163,-3.8612,3.73,-4.6294,0.0,0.0,0
0.2883,0.2261,0.2572,0.0272,17.0613,-27.8432,171.8933,0.0,0.0,2
0.216,0.2207,0.2183,0.0075,-18.4857,-0.1995,5.6582,1.0,0.0,1
0.1211,0.1419,0.1315,0.0055,16.496,-4.8333,10.3684,1.0,0.0,0
0.3157,0.3321,0.3239,0.0097,18.4545,2.5298,-176.6315,0.0,0.0,0
0.2128,0.2102,0.2115,0.0087,-15.8313,1.0587,3.101,1.0,0.0,1
0.3017,0.2893,0.2955,0.008,21.1047,-1.5241,179.6064,0.0,0.0,0
0.1133,0.1228,0.118,0.0032,-44.2491,4.5041,6.174,1.0,0.0,0
0.1517,0.1045,0.1281,0.0216,-12.4797,-14.3173,10.3708,1.0,0.0,1
0.0869,0.101,0.094,0.0221,-42.8341,-0.2636,-8.4874,1.0,0.0,2
0.4502,0.2735,0.3619,0.5442,15.2597,-42.9953,169.0757,0.0,0.0,1
0.2208,0.2205,0.2207,0.0024,-5.6835,-4.2391,3.107,0.0,0.0,1
0.3082,0.3325,0.3203,0.1094,23.5022,24.9966,-154.0073,0.0,0.0,0
0.3022,0.2921,0.2972,0.4655,-11.3451,-2.0859,2.2973,0.0,0.0,1
0.4967,0.3309,0.4138,0.0198,10.1416,-56.4768,-172.6919,0.0,0.0,2
0.073,0.0684,0.0707,0.0768,-13.6141,3.7679,-4.3312,1.0,0.0,1
0.401,0.4354,0.4182,0.013,25.8716,22.6569,-164.9172,0.0,0.0,0
0.233,0.2176,0.2253,0.0134,-13.1966,-0.7477,1.4377,0.0,0.0,1
0.3751,0.3072,0.3411,0.3905,18.4768,-27.2715,168.1835,0.0,0.0,1
0.4578,0.5092,0.4835,0.0242,26.1022,29.0676,-166.2378,0.0,0.0,0
0.0901,0.0452,0.0676,0.0256,-45.6479,4.6529,6.365,1.0,0.0,0
0.2278,0.2238,0.2258,0.0042,-10.104,0.4319,2.5164,0.0,0.0,1
0.0632,0.0923,0.0778,0.0027,-48.9426,-2.9871,-3.2103,1.0,0.0,0
0.6549,0.3551,0.505,0.0801,-42.1747,-75.461,-139.0291,0.0,0.0,2
0.1741,0.1542,0.1642,0.0051,-40.361,-4.7949,-6.5165,1.0,0.0,0
0.4021,0.3635,0.3828,0.0107,24.4199,-27.5987,167.1673,0.0,0.0,0
0.2218,0.1842,0.203,0.0087,-39.2447,-3.1449,4.6808,1.0,0.0,0
0.1547,0.1259,0.1403,0.0024,-47.3695,0.3079,2.6203,1.0,0.0,0
0.4251,0.2875,0.3563,0.3278,3.5724,41.6608,176.4282,0.0,0.0,2
0.26,0.2891,0.2746,0.3878,-7.2203,7.1343,1.6123,0.0,0.0,1
0.2838,0.3128,0.2983,0.0668,28.5598,2.7074,-141.4592,0.0,0.0,2
0.2325,0.2341,0.2333,0.0161,24.3125,-0.7046,176.543,0.0,0.0,0
0.1615,0.1424,0.152,0.0062,14.8828,-0.153,176.0278,1.0,0.0,1
0.2571,0.2877,0.2724,0.0193,18.6971,-31.8468,162.5257,0.0,0.0,0
0.1226,0.1732,0.1479,0.0035,13.8183,3.0695,174.7751,1.0,0.0,1
0.1761,0.1616,0.1688,0.0028,-40.9892,0.1834,-2.3921,1.0,0.0,0
0.4583,0.4347,0.4465,0.05,24.5299,-25.3613,159.834,0.0,0.0,0
0.357,0.2751,0.3161,0.7972,15.6476,-42.2587,174.4471,0.0,0.0,1
0.0427,0.0376,0.0401,0.0358,-7.9636,5.339,-2.9618,1.0,0.0,1
0.1283,0.1409,0.1346,0.0043,-48.6347,-0.4105,0.8314,1.0,0.0,0
0.3456,0.3649,0.3553,0.0031,14.594,5.1146,179.8908,0.0,0.0,0
0.2345,0.1222,0.1784,0.0081,33.1207,-29.7472,163.6731,1.0,0.0,1
0.3958,0.2506,0.3232,0.0188,26.2045,-53.5864,-173.3798,0.0,0.0,2
0.5117,0.4435,0.4776,0.0102,31.688,-35.8247,171.581,0.0,0.0,2
0.2388,0.2698,0.2543,0.0141,45.2841,-9.88,-142.0336,0.0,0.0,2
0.3493,0.2926,0.3209,0.0118,34.505,-8.8078,165.5591,0.0,0.0,0
0.215,0.2095,0.2123,0.0029,-9.7032,-3.6245,4.1648,1.0,0.0,1
0.2971,0.3003,0.2987,0.003,30.2223,1.0225,178.6759,0.0,0.0,0
0.2716,0.2849,0.2782,0.0014,-4.0645,4.7025,-2.4562,0.0,0.0,1
